word,furigana,translation,category,level
愛,あい,love; affection,noun,n3
愛情,あいじょう,love; affection,noun,n3
合図,あいず,sign; signal,noun,n3
愛する,あいする,to love,verb,n3
相手,あいて,companion; partner; opponent,noun,n3
あいにく,,unfortunately; sorry; but...,adverb,n3
明かり,あかり,light; illumination; glow,noun,n3
空き,あき,opening; space; vacancy,noun,n3
明らか,あきらか,obvious; clear; plain,adjective,n3
諦める,あきらめる,to give up; to abandon,verb,n3
飽きる,あきる,to get tired of; to lose interest in,verb,n3
握手,あくしゅ,handshake,noun,n3
悪魔,あくま,devil; demon,noun,n3
明ける,あける,to dawn; to become daylight,verb,n3
預ける,あずける,to entrust; to deposit,verb,n3
汗,あせ,sweat; perspiration,noun,n3
与える,あたえる,to give; to present; to award,verb,n3
辺り,あたり,vicinity; nearby,noun,n3
当たる,あたる,to be hit; to be successful; to be equivalent to,verb,n3
あちこち,,here and there,adverb,n3
扱う,あつかう,to handle; to deal with; to treat,verb,n3
集まり,あつまり,gathering; meeting; assembly,noun,n3
集める,あつめる,to collect; to gather,verb,n3
宛名,あてな,addressee; address,noun,n3
跡,あと,trace; mark; ruins,noun,n3
アドバイス,,advice,noun,n3
穴,あな,hole,noun,n3
油,あぶら,oil,noun,n3
余り,あまり,remainder; rest; surplus,noun,n3
編む,あむ,to knit; to braid,verb,n3
怪しい,あやしい,suspicious; doubtful,adjective,n3
荒い,あらい,rough; coarse; wild,adjective,n3
嵐,あらし,storm; tempest,noun,n3
新た,あらた,new; fresh; novel,adjective,n3
あらゆる,,all; every,adjective,n3
表す,あらわす,to express; to show; to reveal,verb,n3
現す,あらわす,to show; to display,verb,n3
現れ,あらわれ,embodiment; manifestation,noun,n3
現れる,あらわれる,to appear; to emerge,verb,n3
有る,ある,to be; to exist (inanimate),verb,n3
或る,ある,a certain...; some...,adjective,n3
あるいは,,or; possibly,conjunction,n3
アルバム,,album,noun,n3
あれこれ,,this and that; various things,adverb,n3
合わせる,あわせる,to join together; to match,verb,n3
慌てる,あわてる,to be flustered; to panic,verb,n3
案,あん,idea; plan; proposal,noun,n3
暗記,あんき,memorization,noun,n3
胃,い,stomach,noun,n3
委員,いいん,committee member,noun,n3
意外,いがい,unexpected; surprising,adjective,n3
意識,いしき,consciousness; awareness,noun,n3
医師,いし,doctor; physician,noun,n3
維持,いじ,maintenance; preservation,noun,n3
いじめる,,to bully; to torment,verb,n3
異常,いじょう,strangeness; abnormality; disorder,adjective,n3
泉,いずみ,spring; fountain,noun,n3
以前,いぜん,ago; since; before,adverb,n3
板,いた,board; plank,noun,n3
偉大,いだい,great; grand; magnificent,adjective,n3
抱く,いだく,to harbor (a feeling); to entertain (a doubt); to embrace (an idea),verb,n3
いたずら,,mischief; prank,noun,n3
頂く,いただく,to receive; to get (humble),verb,n3
痛み,いたみ,pain; ache; sore,noun,n3
至る,いたる,to arrive at; to reach,verb,n3
位置,いち,place; situation; position,noun,n3
一時,いちじ,for a time; a period of time; temporarily,noun,n3
一度に,いちどに,all at once,adverb,n3
一流,いちりゅう,first-class; top grade,noun,n3
一家,いっか,a house; a home; a family,noun,n3
一種,いっしゅ,a species; a kind; a variety,noun,n3
一瞬,いっしゅん,a moment; an instant,noun,n3
一生,いっしょう,whole life; a lifetime,noun,n3
一層,いっそう,much more; still more; all the more,adverb,n3
一体,いったい,what on earth; really; (in the) first place,adverb,n3
一致,いっち,agreement; union; match,noun,n3
いつでも,,anytime; always; at all times,adverb,n3
一般,いっぱん,general; common; ordinary,noun,n3
一方,いっぽう,on the other hand; one side,noun,n3
いつまでも,,forever; for good; eternally,adverb,n3
移動,いどう,removal; migration; movement,noun,n3
従兄弟,いとこ,cousin (male),noun,n3
稲,いね,rice plant,noun,n3
居眠り,いねむり,dozing; nap,noun,n3
命,いのち,life; life force,noun,n3
違反,いはん,violation; offense,noun,n3
衣服,いふく,clothes; clothing,noun,n3
居間,いま,living room,noun,n3
今に,いまに,before long; even now,adverb,n3
今にも,いまにも,at any moment; at any minute,adverb,n3
以来,いらい,since; henceforth,noun,n3
依頼,いらい,request; commission; entrusting,noun,n3
いらいら,,to be irritated; feeling frustrated,adverb,n3
いらっしゃい,,welcome,expression,n3
医療,いりょう,medical care; medical treatment,noun,n3
岩,いわ,rock; crag,noun,n3
祝い,いわい,celebration; festival,noun,n3
祝う,いわう,to celebrate; to congratulate,verb,n3
言わば,いわば,so to speak; as it were,adverb,n3
いわゆる,,so-called; what is called,adjective,n3
印刷,いんさつ,printing,noun,n3
印象,いんしょう,impression,noun,n3
引退,いんたい,retirement,noun,n3
インタビュー,,interview,noun,n3
引用,いんよう,quotation; citation,noun,n3
ウイスキー,,whisky,noun,n3
ウェイター,,waiter,noun,n3
ウェイトレス,,waitress,noun,n3
植木,うえき,garden shrubs; potted plant,noun,n3
浮かぶ,うかぶ,to float; to come to mind,verb,n3
浮かべる,うかべる,to float; to express,verb,n3
受け取る,うけとる,to receive; to get; to accept,verb,n3
動かす,うごかす,to move; to shift,verb,n3
失う,うしなう,to lose; to part with,verb,n3
疑う,うたがう,to doubt; to suspect,verb,n3
内側,うちがわ,inside; interior,noun,n3
宇宙,うちゅう,universe; cosmos; space,noun,n3
撃つ,うつ,to shoot; to attack,verb,n3
移す,うつす,to remove; to transfer; to infect,verb,n3
訴える,うったえる,to sue (a person); to complain of; to appeal to,verb,n3
うっかり,,carelessly; thoughtlessly,adverb,n3
うまい,,skillful; delicious,adjective,n3
生まれ,うまれ,birth; birthplace,noun,n3
梅,うめ,plum; Japanese apricot,noun,n3
裏切る,うらぎる,to betray,verb,n3
噂,うわさ,rumor; gossip,noun,n3
