word,furigana,translation,description,example,example_translation,category,level
おかげで,,thanks to; owing to; because of,"Expresses a reason for a positive outcome. Often used to show gratitude, but can also be used ironically.",日本に留学したおかげで、日本語が上手になりました。,"Thanks to studying abroad in Japan, my Japanese has improved.",expression,n3
〜ば〜ほど,,the more... the more...,"Used with verbs and adjectives to express that as one action or state increases, another also increases.",この本は読めば読むほど面白いです。,"The more I read this book, the more interesting it becomes.",expression,n3
〜ように,,in order to; so that; like; as,"Indicates a purpose or goal, or expresses a manner or similarity.",忘れ物をしないようにカバンに入れました。,"I put it in my bag so that I wouldn't forget anything.",particle,n3
〜てならない,,can't help but; unbearably,"Expresses a natural, uncontrollable emotion or feeling that arises strongly.",卒業できるかどうか心配でならない。,"I can't help but worry about whether I can graduate.",expression,n3
〜ことになる,,it has been decided that; it turns out that,"Expresses that a decision or conclusion has been reached, often by a group or external circumstance.",来月、大阪支店に転勤することになりました。,"It has been decided that I will be transferred to the Osaka branch next month.",expression,n3
〜たとたん（に）,,as soon as; the moment,"Indicates that the second action happened immediately and often unexpectedly after the first.",窓を開けたとたん、強い風が入ってきた。,"The moment I opened the window, a strong wind blew in.",expression,n3
〜わけにはいかない,,cannot (due to circumstances); must not,"Expresses that one cannot do something due to social conventions, reason, or morality.",明日は試験だから、今夜は遊んでいるわけにはいかない。,"I have an exam tomorrow, so I can't afford to go out and play tonight.",expression,n3
〜によって,,by; due to; depending on; according to,"Indicates a means, a cause, or that something varies depending on the circumstances.",この習慣は国によって違います。,"This custom differs depending on the country.",particle,n3
〜うちに,,while; before,"Expresses doing something while a situation lasts or before it changes.",若いうちに、いろいろな経験をしたほうがいい。,"You should have various experiences while you are young.",expression,n3
さすが（に）,,"as one would expect; even","Used to express admiration that something/someone lives up to their reputation, or to concede a point despite expectations.",さすがのチャンピオンも、その新人には勝てなかった。,"Even the champion couldn't beat that newcomer.",adverb,n3
〜たびに,,every time; whenever,"Expresses that something always happens on each occasion of another event.",彼に会うたびに、彼はいつも忙しそうだ。,"Every time I see him, he always seems busy.",expression,n3
〜ついでに,,while you're at it; on the same occasion,"Indicates doing another action while taking the opportunity presented by the main action.",散歩のついでに、図書館に本を返してきた。,"While I was out for a walk, I returned a book to the library.",expression,n3
〜ばよかった,,should have; I wish I had,"Expresses regret about something that was not done.",もっと勉強すればよかった。,"I should have studied more.",expression,n3
〜ことか,,how...!; what a...!,"Used with interrogative words to express a strong emotion (amazement, sadness, etc.).",何度あの映画を見たことか。,"How many times I've seen that movie!",expression,n3
〜得る,〜うる / 〜える,can; to be able to; possible,"A formal verb suffix that indicates something is possible. Usually read as 'uru' in this form.",その可能性もあり得る。,"That is also a possibility.",verb,n3
〜得ない,〜えない,cannot; to be unable to; impossible,"The negative form of 得る, indicating something is impossible. Always read as 'enai'.",あり得ない話だ。,"That's an impossible story.",verb,n3
〜かねる,,to be unable to; to find it difficult to,"Used to politely refuse or express that something is difficult to do, often in a formal or business context.",そのご意見には賛成しかねます。,"I find it difficult to agree with that opinion.",verb,n3
〜っぽい,,-ish; tending to; full of,"A suffix that adds the meaning 'like' or 'having the quality of'. Often used casually and can have a negative nuance.",彼は忘れっぽい人だ。,"He is a forgetful person.",suffix,n3
〜がち,,tending to; prone to,"Indicates a tendency or frequency, often for undesirable habits or states.",彼女は子供の時、病気がちだった。,"She was often sick when she was a child.",suffix,n3
〜げ,,-looking; -appearing; seeming,"A suffix attached to the stem of an adjective to create a na-adjective meaning 'having the appearance of'.",彼は悲しげな顔をしていた。,"He had a sad-looking face.",suffix,n3
〜向き,〜むき,suited for; for,"Indicates that something is suitable or designed for a specific user or purpose.",この本は初心者向きだ。,"This book is suited for beginners.",suffix,n3
〜向け,〜むけ,aimed at; made for,"Indicates that something is made or tailored for a specific target audience or market.",これは海外向けに輸出される商品だ。,"This is a product designed for export overseas.",suffix,n3
〜だらけ,,full of; covered with,"Indicates that something is completely covered or filled with something, usually undesirable (e.g., dust, mistakes).",彼の答案は間違いだらけだった。,"His exam paper was full of mistakes.",suffix,n3
〜ぬきで,,without; excluding,"Indicates the omission or exclusion of something.",仕事の話は抜きで、楽しく飲みましょう。,"Let's enjoy drinking without talking about work.",expression,n3
〜のみ,,only; just,"A formal particle meaning 'only', similar to だけ but more common in written or formal language.",この部屋は関係者のみ入ることができる。,"Only authorized personnel can enter this room.",particle,n3
〜さえ,,even,"Used to emphasize an extreme example to suggest that other things are even more so.",子供でさえそのことを知っている。,"Even a child knows that.",particle,n3
〜さえ〜ば,,if only; as long as,"Used to express that if one condition is met, everything will be fine.",お金さえあれば、どこでも行ける。,"If only I had money, I could go anywhere.",expression,n3
〜くらい・〜ぐらい,,about; to the extent of; even,"Indicates an approximate amount, degree or extent. Can also be used to downplay something.",それくらいのことなら、私でもできる。,"If it's something of that level, even I can do it.",particle,n3
〜ほど,,to the extent that; so... that,"Indicates the degree or extent of something. Often used in comparisons.",泣きたいほど嬉しかった。,"I was so happy I wanted to cry.",particle,n3
〜ようにする,,to make an effort to; to try to,"Expresses making an effort to do something habitually.",毎日野菜を食べるようにしている。,"I make an effort to eat vegetables every day.",expression,n3
〜ようになる,,to reach the point that; to come to be able to,"Expresses a change over time, indicating that something has become possible or has become a habit.",日本語で手紙が書けるようになった。,"I've reached the point where I can write letters in Japanese.",expression,n3
〜ことにする,,to decide to,"Expresses a personal decision or resolution made by the speaker.",来月からジムに通うことにする。,"I've decided to start going to the gym from next month.",expression,n3
〜ことになっている,,it is a rule that; it has been arranged that,"Expresses a pre-arranged rule, custom, or schedule, not decided by the speaker.",ここではタバコを吸ってはいけないことになっている。,"It's a rule that you must not smoke here.",expression,n3
〜ないことはない,,"it's not that... not; it is, but","A double negative expressing that something is true to some extent, but with hesitation or qualification.",行けないことはないけど、少し時間が…。,"It's not that I can't go, but I'm a bit short on time...",expression,n3
〜ないではいられない,,can't help but; can't refrain from,"Expresses a natural, uncontrollable urge to do something.",その冗談を聞くと、笑わないではいられない。,"When I hear that joke, I can't help but laugh.",expression,n3
