word,furigana,translation,description,example,example_translation,category,level
です,,is; am; are (to be),The polite copula verb used with nouns and na-adjectives to state that something 'is' something.,私は学生です。,I am a student.,copula,n5
〜ます,,(Polite verb ending),The polite form ending for verbs; used in present and future tense positive statements.,食べます,I eat / I will eat.,verb,n5
〜ません,,(Polite negative verb ending),The polite negative form ending for verbs.,食べません,I do not eat / I will not eat.,verb,n5
〜ました,,(Polite past verb ending),The polite past tense ending for verbs.,食べました,I ate.,verb,n5
〜ませんでした,,(Polite past negative verb ending),The polite past negative form ending for verbs.,食べませんでした,I did not eat.,verb,n5
〜たい,,want to...,Added to the stem of a verb to express the speaker's desire to do something.,日本に行きたいです。,I want to go to Japan.,verb,n5
〜ませんか,,"Won't you...? Would you like to...?",A polite way to extend an invitation or make a suggestion to someone.,一緒に昼ご飯を食べませんか。,Would you like to have lunch together?,phrase,n5
〜ましょう,,let's...,A verb form used to make a suggestion to do something together.,映画を見ましょう。,Let's watch a movie.,verb,n5
〜ましょうか,,Shall I...?,Used to politely offer to do something for someone.,荷物を持ちましょうか。,Shall I carry your luggage?,phrase,n5
〜てください,,please do...,Used to make a polite request. It is added to the て-form of a verb.,静かにしてください。,Please be quiet.,phrase,n5
〜ています,,"is doing... / is...ing",Added to the て-form of a verb to express an ongoing action or current state.,雨が降っています。,Rain is falling.,verb,n5
があります,,"There is/are (for inanimate things)",Used to indicate the existence of non-living things; plants; or events.,机の上に本があります。,There is a book on the desk.,verb,n5
がいます,,"There is/are (for animate things)",Used to indicate the existence of living things (people; animals).,公園に猫がいます。,There is a cat in the park.,verb,n5
は,,(Topic Marker Particle),A particle used to mark the topic of a sentence. It is pronounced 'wa'.,これは本です。,"As for this, it is a book. / This is a book.",particle,n5
が,,(Subject Marker Particle),"A particle used to mark the subject of a sentence, often for new information or with potential verbs.",桜がきれいです。,The cherry blossoms are beautiful.,particle,n5
を,,(Direct Object Marker Particle),A particle placed after a noun to indicate that it is the direct object of the verb.,水を飲みます。,I drink water.,particle,n5
に,,(Target/Location/Time Particle),"Indicates direction (to a place), location of existence, a point in time, or an indirect object.",学校に行きます。,I go to school.,particle,n5
で,,(Means/Location of Action Particle),Indicates the means by which an action is done or the location where an action takes place.,箸で食べます。,I eat with chopsticks.,particle,n5
