word,furigana,translation,category,level
相変わらず,あいかわらず,as usual; still,adverb,n2
曖昧,あいまい,vague; ambiguous,adjective,n2
アイロン,,iron,noun,n2
アウト,,out,noun,n2
足跡,あしあと,footprints,noun,n2
味わう,あじわう,to taste; to savor,verb,n2
預かる,あずかる,to keep in custody; to look after,verb,n2
当てる,あてる,to hit; to guess,verb,n2
雨戸,あまど,sliding storm door,noun,n2
甘やかす,あまやかす,to spoil; to pamper,verb,n2
新たに,あらたに,newly; afresh,adverb,n2
有り難い,ありがたい,grateful; thankful,adjective,n2
荒れる,あれる,to be stormy; to be rough,verb,n2
泡,あわ,bubble; foam,noun,n2
慌ただしい,あわただしい,busy; hurried,adjective,n2
安定,あんてい,stability; equilibrium,noun,n2
あんなに,,to that extent; so much,adverb,n2
あんまり,,not very; not much,adverb,n2
生き,いき,living; fresh; lively,noun,n2
息,いき,breath,noun,n2
勢い,いきおい,vigor; force,noun,n2
生き物,いきもの,living thing; creature,noun,n2
幾つ,いくつ,how many; how old,interrogative,n2
幾ら,いくら,how much,interrogative,n2
意思,いし,intention; purpose,noun,n2
意志,いし,will; volition,noun,n2
いずれ,,anyway; sooner or later,adverb,n2
悪戯,いたずら,prank; mischief,noun,n2
浮かぶ,うかぶ,to float; to come to mind,verb,n2
浮く,うく,to float,verb,n2
伺う,うかがう,to visit; to ask (humble),verb,n2
内,うち,inside; within,noun,n2
器,うつわ,bowl; vessel,noun,n2
促す,うながす,to urge; to press,verb,n2
唸る,うなる,to groan; to moan,verb,n2
奪う,うばう,to snatch away; to steal,verb,n2
裏口,うらぐち,backdoor; rear entrance,noun,n2
売上,うりあげ,sales; proceeds,noun,n2
売り切れ,うりきれ,sold out,noun,n2
瓜,うり,melon,noun,n2
運,うん,fortune; luck,noun,n2
永久,えいきゅう,eternity; perpetuity,noun,n2
衛星,えいせい,satellite,noun,n2
英文,えいぶん,English sentence,noun,n2
ええと,,let me see; well,interjection,n2
園芸,えんげい,horticulture; gardening,noun,n2
演習,えんしゅう,practice; exercises,noun,n2
沿線,えんせん,along railway line,noun,n2
演奏,えんそう,musical performance,noun,n2
遠足,えんそく,excursion; outing,noun,n2
老い,おい,old age; old person,noun,n2
追い付く,おいつく,to overtake; to catch up with,verb,n2
横断,おうだん,crossing,noun,n2
終える,おえる,to finish,verb,n2
大いに,おおいに,very; much; greatly,adverb,n2
覆う,おおう,to cover; to hide,verb,n2
オーバー,,overcoat; over,noun,n2
大家,おおや,landlord; landlady,noun,n2
丘,おか,hill; height,noun,n2
沖,おき,open sea,noun,n2
奥,おく,interior; inner part,noun,n2
贈る,おくる,to present; to give (as a gift),verb,n2
お昼,おひる,lunch; noon,noun,n2
お参り,おまいり,worship; shrine visit,noun,n2
可,か,passable,adjective,n2
会員,かいいん,member,noun,n2
回転,かいてん,rotation; revolution,noun,n2
解答,かいとう,answer; solution,noun,n2
外部,がいぶ,the outside; external,noun,n2
解放,かいほう,release; liberation,noun,n2
開放,かいほう,opening; open,noun,n2
限る,かぎる,to restrict; to limit,verb,n2
各自,かくじ,each one; every one,noun,n2
片仮名,かたかな,katakana,noun,n2
刀,かたな,sword; saber,noun,n2
語る,かたる,to talk; to tell,verb,n2
勝ち,かち,win; victory,noun,n2
価値,かち,value; worth,noun,n2
学期,がっき,school term; semester,noun,n2
活躍,かつやく,activity; great efforts,noun,n2
仮定,かてい,assumption; supposition,noun,n2
課程,かてい,course; curriculum,noun,n2
かなり,,considerably; fairly,adverb,n2
カバー,,cover,noun,n2
過半数,かはんすう,majority,noun,n2
かび,,mold; mildew,noun,n2
かも知れない,かもしれない,may; might,expression,n2
火曜,かよう,Tuesday,noun,n2
柄,がら,pattern; design,noun,n2
枯れる,かれる,to wither; to die (plant),verb,n2
皮,かわ,skin; hide,noun,n2
可哀想,かわいそう,poor; pitiable,adjective,n2
間接,かんせつ,indirection; indirectness,noun,n2
感想,かんそう,impressions; thoughts,noun,n2
記入,きにゅう,entry; filling in forms,noun,n2
基本,きほん,basics; fundamentals,noun,n2
客席,きゃくせき,guest seating,noun,n2
キャプテン,,captain,noun,n2
キャンプ,,camp,noun,n2
切れ,きれ,cloth; piece,noun,n2
金魚,きんぎょ,goldfish,noun,n2
金庫,きんこ,safe; vault,noun,n2
偶数,ぐうすう,even number,noun,n2
下り,くだり,down-train; going down,noun,n2
組合,くみあい,association; union,noun,n2
悔やむ,くやむ,to regret; to lament,verb,n2
クリスマス,,Christmas,noun,n2
狂う,くるう,to go mad; to get out of order,verb,n2
郡,ぐん,county; district,noun,n2
