word,furigana,translation,description,example,example_translation,category,level
あげく,,"in the end; on top of all that","Used after a verb (in past tense) or a noun with の to express a negative result after a long process or struggle.","長時間議論したあげく、結論が出なかった。","After discussing for a long time, we couldn't reach a conclusion.",expression,n2
あまり,,"so... that; to the extent that","Used to express that something is so extreme that it causes another action or state. Follows a verb, い-adjective, な-adjective + な, or noun + の.","彼の成功が嬉しいあまり、彼女は泣き出した。","She was so happy about his success that she started crying.",expression,n2
以上,いじょう,"now that; since; as long as","Expresses a strong determination or a logical conclusion based on a given condition. Often used with からは.","約束した以上、必ず守ります。","Now that I've promised, I will definitely keep it.",expression,n2
一方,いっぽう,"on the other hand; while; meanwhile","Used to contrast two things or to indicate a continuing trend.","彼は医者として働く一方、小説も書いている。","He works as a doctor, while also writing novels.",expression,n2
うえで,,"upon; after","Indicates that the preceding action is a necessary prerequisite for the action that follows. Often written in hiragana.","この書類は契約を結ぶうえで必要です。","These documents are necessary for concluding a contract.",expression,n2
おかげで,,"thanks to","Expresses gratitude for a positive outcome. Can be used sarcastically for negative outcomes.","先生のおかげで合格できました。","Thanks to my teacher, I was able to pass.",expression,n2
がち,,"tend to; prone to","A suffix attached to nouns or verb stems (ます-stem) to indicate a frequent tendency, often for something negative.","彼は子供の頃、病気がちだった。","He was prone to illness when he was a child.",suffix,n2
かけ,,"half-; in the middle of","A suffix attached to the stem of a verb (ます-stem) to indicate that an action has been started but not completed.","テーブルに飲みかけのコーヒーが置いてあった。","There was a half-drunk cup of coffee on the table.",suffix,n2
がたい,,"difficult to","A suffix attached to a verb stem (ます-stem) to express that something is psychologically or physically difficult to do.","彼の意見は賛成しがたい。","His opinion is difficult to agree with.",suffix,n2
がる,,"to show signs of; to appear to","A suffix attached to an adjective (without い/な) to indicate that someone (usually a third party) is showing signs of a certain feeling.","子供が新しいおもちゃを欲しがっている。","The child is showing that he wants the new toy.",verb,n2
きり,,"only; just; since","Can mean 'only' (っきり) or indicate that a state continues after a past action (past tense verb + きり).","彼とは去年会ったきり、会っていない。","I haven't seen him since I met him last year.",particle,n2
くせに,,"even though; and yet","Expresses strong criticism or contempt for someone who does something contrary to what is expected.","あの子は子供のくせに、大人のような口をきく。","That child speaks like an adult even though they are just a kid.",expression,n2
ことか,,"how...!; what a...!","Used with question words (何度, どんなに, etc.) to emphasize a strong emotion, like wonder, sadness, or happiness.","何度君に仕事をしっかりやれと言ったことか。","How many times have I told you to do your job properly!",expression,n2
さえ,,"even","Emphasizes something by giving an extreme example. Often used with conditional forms like ば.","彼は自分の名前さえ書けない。","He can't even write his own name.",particle,n2
次第,しだい,"as soon as; depending on","Can mean 'as soon as' when following a verb stem (ます-stem), or 'depending on' when following a noun.","結果がわかり次第、ご連絡します。","I will contact you as soon as I know the result.",expression,n2
ずにはいられない,,"can't help but","Expresses a strong, uncontrollable urge or impulse to do something. Formed with the ない-stem of a verb + ずにはいられない.","その映画の結末に、泣かずにはいられなかった。","I couldn't help but cry at the ending of that movie.",expression,n2
せいで,,"due to (negative reason)","Used to indicate the cause of a negative outcome.","雨のせいで、ピクニックは中止になった。","Because of the rain, the picnic was canceled.",expression,n2
だけあって,,"as expected from; precisely because","Used to express that something is worthy of its reputation or status.","彼は日本に10年住んだだけあって、日本語がとても上手だ。","As one would expect from someone who lived in Japan for 10 years, his Japanese is very good.",expression,n2
だけに,,"all the more because; precisely because","Emphasizes that because of a certain fact, the result is even more significant or emotional.","期待が大きかっただけに、失敗は残念だった。","Precisely because my expectations were high, the failure was all the more disappointing.",expression,n2
たとえ〜ても,,"even if","Used with the て-form of a verb or adjective + も to express 'even if' a hypothetical situation occurs.","たとえお金がなくても、幸せに生きたい。","Even if I don't have money, I want to live happily.",expression,n2
たばかり,,"just finished doing","Indicates that an action has just been completed. Follows the past tense (た-form) of a verb.","これは昨日買ったばかりの服です。","These are clothes I just bought yesterday.",expression,n2
ついでに,,"while you're at it","Indicates doing an additional action while taking the opportunity of the main action.","散歩のついでに、手紙を出してきてくれる","While you're out for a walk, can you mail this letter?",expression,n2
っけ,,"was it?; I seem to remember","A sentence-ending particle used to confirm or recall something one is trying to remember. Used in casual conversation.","あの人の名前、何て言ったっけ","What was that person's name again?",particle,n2
つつ,,"while; although","A more formal equivalent of ながら, meaning 'while' doing something. Also used as つつも to mean 'although'.","お酒は体に悪いと知りつつ、やめられない。","Although I know alcohol is bad for my body, I can't quit.",particle,n2
つつある,,"to be in the process of","Indicates that a change is gradually progressing. Used with the verb stem (ます-stem).","この街の環境は改善されつつある。","The environment in this town is gradually improving.",expression,n2
てからでないと,,"unless... first; not until","Expresses that one action cannot occur until another action is completed. Used with the て-form of a verb.","よく調べてからでないと、答えはわからない。","You won't know the answer unless you investigate it thoroughly first.",expression,n2
てたまらない,,"can't bear; extremely","Expresses a strong, unbearable feeling or desire. Used with the て-form of a verb or adjective.","故郷の母のことが心配でたまらない。","I'm extremely worried about my mother back home.",expression,n2
てはいられない,,"can't afford to; can't keep","Expresses that one cannot continue in a certain state or action due to circumstances. Used with the て-form of a verb.","ずっと遊んではいられない。そろそろ勉強しよう。","I can't afford to keep playing around. It's time to study.",expression,n2
