word,furigana,translation,category,level
ああ,,ah; yes,interjection,n4
アフリカ,,Africa,noun,n4
上がる,あがる,to rise,verb,n4
挨拶,あいさつ,greeting; to greet,verb,n4
アジア,,Asia,noun,n4
アクセサリー,,accessory,noun,n4
アメリカ,,America,noun,n4
アナウンサー,,announcer,noun,n4
あんな,,such; like that,pronoun,n4
案内,あんない,guidance; to guide,verb,n4
安心,あんしん,relief; peace of mind,noun,n4
安全,あんぜん,safety; security,noun,n4
アルバイト,,part-time job,noun,n4
アルコール,,alcohol,noun,n4
謝る,あやまる,to apologize,verb,n4
倍,ばい,double; times,noun,n4
番組,ばんぐみ,(TV) program,noun,n4
場所,ばしょ,place; location,noun,n4
ベル,,bell,noun,n4
ビル,,building,noun,n4
貿易,ぼうえき,trade,noun,n4
部長,ぶちょう,department manager,noun,n4
ぶどう,,grapes,noun,n4
文学,ぶんがク,literature,noun,n4
文化,ぶんか,culture,noun,n4
文法,ぶんぽう,grammar,noun,n4
血,ち,blood,noun,n4
力,ちから,strength; power,noun,n4
地理,ちり,geography,noun,n4
中学校,ちゅうがっこう,junior high school,noun,n4
注意,ちゅうい,caution; attention,noun,n4
注射,ちゅうしゃ,injection,noun,n4
駐車場,ちゅうしゃじょう,parking lot,noun,n4
大学生,だいがくせい,university student,noun,n4
大体,だいたい,mostly; roughly,adverb,n4
暖房,だんぼう,heating,noun,n4
男性,だんせい,male; man,noun,n4
電報,でんぽう,telegram,noun,n4
電灯,でんとう,electric light,noun,n4
できるだけ,,as much as possible,expression,n4
泥棒,どろぼう,thief,noun,n4
道具,どうぐ,tool; instrument,noun,n4
枝,えだ,branch,noun,n4
遠慮,えんりょ,reserve; restraint,noun,n4
エスカレーター,,escalator,noun,n4
布団,ふとん,futon; Japanese bedding,noun,n4
太る,ふとる,to get fat,verb,n4
普通,ふつう,normal; ordinary,adjective,n4
ガソリン,,gasoline,noun,n4
ガソリンスタンド,,gas station,noun,n4
原因,げんいん,cause; origin,noun,n4
下宿,げしゅく,lodging,noun,n4
技術,ぎじゅつ,skill; technology,noun,n4
ご覧になる,ごらんになる,to see (respectful),verb,n4
ご存じ,ごぞんじ,knowing (respectful),expression,n4
具合,ぐあい,condition; health,noun,n4
拝見,はいけん,seeing; looking at (humble),expression,n4
歯医者,はいしゃ,dentist,noun,n4
運ぶ,はこぶ,to carry,verb,n4
花見,はなみ,cherry blossom viewing,noun,n4
ハンドバッグ,,handbag,noun,n4
反対,はんたい,opposite; opposition,noun,n4
払う,はらう,to pay,verb,n4
発音,はつおん,pronunciation,noun,n4
林,はやし,woods; forest,noun,n4
変,へん,strange; weird,adjective,n4
返事,へんじ,reply; answer,noun,n4
酷い,ひどい,terrible; awful,adjective,n4
冷える,ひえる,to become cold,verb,n4
髭,ひげ,beard; moustache,noun,n4
非常に,ひじょうに,extremely,adverb,n4
光,ひかり,light,noun,n4
